Date,Price,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,
2001-02-06,86.67900848388672,0.0,135.38999938964844,0.0,136.6999969482422,135.22000122070312,135.3000030517578,0.0,7106700
2001-02-07,86.23080444335938,0.0,134.69000244140625,0.0,135.39999389648438,133.67999267578125,134.72000122070312,0.0,5748700
2001-02-08,85.22567749023438,0.0,133.1199951171875,0.0,135.39999389648438,133.10000610351562,134.8000030517578,0.0,5943300
2001-02-09,84.40621948242188,0.0,131.83999633789062,0.0,133.35000610351562,131.25999450683594,133.35000610351562,0.0,9913000
2001-02-12,85.37290954589844,0.0,133.35000610351562,0.0,133.5,131.6999969482422,131.6999969482422,0.0,5804400
2001-02-13,84.67512512207031,0.0,132.25999450683594,0.0,134.1699981689453,132.0,133.6999969482422,0.0,6587600
2001-02-14,84.54705047607422,0.0,132.05999755859375,0.0,132.64999389648438,130.66000366210938,132.64999389648438,0.0,8400100
2001-02-15,85.36648559570312,0.0,133.33999633789062,0.0,133.52000427246094,131.99000549316406,132.83999633789062,0.0,5929800
2001-02-16,83.48428344726562,0.0,130.39999389648438,0.0,131.2899932861328,129.3000030517578,131.0,0.0,6434900
2001-02-20,82.19747924804688,0.0,128.38999938964844,0.0,131.13999938964844,128.10000610351562,131.0399932861328,0.0,5760000
2001-02-21,80.42406463623047,0.0,125.62000274658203,0.0,128.83999633789062,125.5,127.9000015258789,0.0,10910800
2001-02-22,80.54570007324219,0.0,125.80999755859375,0.0,126.54000091552734,123.0199966430664,126.3499984741211,0.0,21281600
2001-02-23,80.00151824951172,0.0,124.95999908447266,0.0,125.54000091552734,121.80000305175781,125.08000183105469,0.0,20173000
2001-02-26,81.70448303222656,0.0,127.62000274658203,0.0,127.62000274658203,124.5,125.80000305175781,0.0,11503700
2001-02-27,80.94903564453125,0.0,126.44000244140625,0.0,127.83999633789062,125.51000213623047,126.80000305175781,0.0,11415000
2001-02-28,79.35491180419922,0.0,123.94999694824219,0.0,126.83999633789062,123.2699966430664,126.75,0.0,14825800
2001-03-01,79.77102661132812,0.0,124.5999984741211,0.0,124.5999984741211,121.75,124.05000305175781,0.0,14672000
2001-03-02,79.13721466064453,0.0,123.61000061035156,0.0,125.6500015258789,122.30000305175781,122.5,0.0,12564300
2001-03-05,79.86070251464844,0.0,124.73999786376953,0.0,124.77999877929688,123.80999755859375,124.1500015258789,0.0,5293200
2001-03-06,80.71856689453125,0.0,126.08000183105469,0.0,127.75,125.48999786376953,126.3499984741211,0.0,6917000
2001-03-07,81.29473876953125,0.0,126.9800033569336,0.0,127.04000091552734,125.76000213623047,126.9000015258789,0.0,6371700
2001-03-08,81.3843994140625,0.0,127.12000274658203,0.0,127.23999786376953,126.13999938964844,126.5999984741211,0.0,6055000
2001-03-09,78.9771499633789,0.0,123.36000061035156,0.0,126.0999984741211,123.11000061035156,126.0999984741211,0.0,10020300
2001-03-12,75.59683990478516,0.0,118.08000183105469,0.0,122.5,117.75,122.33999633789062,0.0,13972900
2001-03-13,76.83882904052734,0.0,120.0199966430664,0.0,120.44000244140625,117.52999877929688,119.4000015258789,0.0,12888000
2001-03-14,75.321533203125,0.0,117.6500015258789,0.0,119.29000091552734,115.75,117.05000305175781,0.0,19883400
2001-03-15,75.34073638916016,0.0,117.68000030517578,0.0,118.86000061035156,117.36000061035156,118.44999694824219,0.0,10370300
2001-03-16,73.82958984375,0.0,115.01000213623047,0.316,117.4000015258789,114.80999755859375,117.12999725341797,0.0,58514600
2001-03-19,75.33174896240234,0.0,117.3499984741211,0.0,117.69000244140625,114.81999969482422,115.76000213623047,0.0,10067800
2001-03-20,73.30962371826172,0.0,114.19999694824219,0.0,118.45999908447266,114.11000061035156,117.9000015258789,0.0,15083900
2001-03-21,72.0643081665039,0.0,112.26000213623047,0.0,115.26000213623047,111.9000015258789,114.18000030517578,0.0,19004600
2001-03-22,71.33247375488281,0.0,111.12000274658203,0.0,112.5999984741211,108.04000091552734,112.0199966430664,0.0,28624800
2001-03-23,73.4894027709961,0.0,114.4800033569336,0.0,114.66000366210938,111.5,113.25,0.0,12861700
2001-03-26,74.42659759521484,0.0,115.94000244140625,0.0,116.2699966430664,114.7699966430664,115.69999694824219,0.0,9943800
2001-03-27,75.94801330566406,0.0,118.30999755859375,0.0,118.6500015258789,115.27999877929688,115.62000274658203,0.0,12880700
2001-03-28,73.84886932373047,0.0,115.04000091552734,0.0,116.94999694824219,114.9000015258789,116.9000015258789,0.0,10953300
2001-03-29,74.13130950927734,0.0,115.4800033569336,0.0,116.5,112.13999938964844,114.69999694824219,0.0,12060300
2001-03-30,74.90804290771484,0.0,116.69000244140625,0.0,116.69000244140625,114.5,115.55000305175781,0.0,9183600
2001-04-02,73.30962371826172,0.0,114.19999694824219,0.0,117.37999725341797,113.80000305175781,116.30000305175781,0.0,10561000
2001-04-03,70.86386108398438,0.0,110.38999938964844,0.0,114.1500015258789,110.05999755859375,113.9800033569336,0.0,12836000
2001-04-04,71.15914916992188,0.0,110.8499984741211,0.0,112.0999984741211,109.30000305175781,110.56999969482422,0.0,14884300
2001-04-05,73.85530090332031,0.0,115.05000305175781,0.0,115.48999786376953,112.5,113.30000305175781,0.0,21522800
2001-04-06,72.73192596435547,0.0,113.30000305175781,0.0,114.4000015258789,112.05999755859375,113.98999786376953,0.0,14937800
2001-04-09,73.54074096679688,0.0,114.55999755859375,0.0,114.98999786376953,112.77999877929688,114.0,0.0,9034300
2001-04-10,74.88240814208984,0.0,116.6500015258789,0.0,117.75,115.16999816894531,115.44999694824219,0.0,17873600
2001-04-11,74.93373107910156,0.0,116.7300033569336,0.0,118.98999786376953,116.13999938964844,118.77999877929688,0.0,12722300
2001-04-12,76.29467010498047,0.0,118.8499984741211,0.0,118.94000244140625,115.95999908447266,116.30000305175781,0.0,9233200
2001-04-16,75.49224090576172,0.0,117.5999984741211,0.0,118.88999938964844,116.91000366210938,118.29000091552734,0.0,7350000
2001-04-17,76.557861328125,0.0,119.26000213623047,0.0,119.66000366210938,117.0199966430664,117.30999755859375,0.0,10924700
2001-04-18,79.60066223144531,0.0,124.0,0.0,126.0,120.69000244140625,121.05999755859375,0.0,32481600
2001-04-19,80.65987396240234,0.0,125.6500015258789,0.0,125.83999633789062,123.58000183105469,124.25,0.0,13809900
2001-04-20,79.92163848876953,0.0,124.5,0.0,125.4000015258789,123.66000366210938,124.9000015258789,0.0,7626700
2001-04-23,78.47083282470703,0.0,122.23999786376953,0.0,123.88999938964844,121.91000366210938,123.6500015258789,0.0,8451800
2001-04-24,78.04719543457031,0.0,121.58000183105469,0.0,123.6500015258789,121.0999984741211,122.5199966430664,0.0,10044700
2001-04-25,79.0678482055664,0.0,123.16999816894531,0.0,123.66999816894531,120.94999694824219,121.41999816894531,0.0,8249000
2001-04-26,79.42091369628906,0.0,123.72000122070312,0.0,125.22000122070312,123.5,123.7300033569336,0.0,10590400
2001-04-27,80.74329376220703,0.0,125.77999877929688,0.0,125.83999633789062,124.19999694824219,124.91999816894531,0.0,7938700
2001-04-30,81.30817413330078,0.0,126.66000366210938,0.0,127.2699966430664,124.66999816894531,126.44999694824219,0.0,10766900
2001-05-01,81.55858612060547,0.0,127.05000305175781,0.0,127.1500015258789,124.5999984741211,125.06999969482422,0.0,10578000
2001-05-02,81.41092681884766,0.0,126.81999969482422,0.0,127.69000244140625,126.0,127.41000366210938,0.0,9572900
2001-05-03,80.37743377685547,0.0,125.20999908447266,0.0,126.1500015258789,124.22000122070312,126.12999725341797,0.0,9926200
2001-05-04,81.74472045898438,0.0,127.33999633789062,0.0,127.3499984741211,123.44000244140625,123.6500015258789,0.0,12145300
2001-05-07,81.03858947753906,0.0,126.23999786376953,0.0,127.37999725341797,126.2300033569336,126.86000061035156,0.0,7185200
2001-05-08,81.00006866455078,0.0,126.18000030517578,0.0,127.0999984741211,125.55999755859375,126.86000061035156,0.0,6952600
2001-05-09,80.65987396240234,0.0,125.6500015258789,0.0,126.55000305175781,125.05999755859375,125.25,0.0,9507400
2001-05-10,80.89737701416016,0.0,126.0199966430664,0.0,127.5,125.7699966430664,127.26000213623047,0.0,6872400
2001-05-11,80.33887481689453,0.0,125.1500015258789,0.0,126.48999786376953,124.4000015258789,126.0,0.0,7734400
2001-05-14,80.49938201904297,0.0,125.4000015258789,0.0,125.44000244140625,124.45999908447266,124.9000015258789,0.0,7914000
2001-05-15,80.87169647216797,0.0,125.9800033569336,0.0,126.5,124.8499984741211,125.55000305175781,0.0,9782200
2001-05-16,82.77828979492188,0.0,128.9499969482422,0.0,129.1999969482422,124.62000274658203,124.83999633789062,0.0,14909000
2001-05-17,82.90664672851562,0.0,129.14999389648438,0.0,130.0800018310547,128.55999755859375,129.0,0.0,11824600
2001-05-18,83.28539276123047,0.0,129.74000549316406,0.0,129.74000549316406,128.10000610351562,129.08999633789062,0.0,6683100
2001-05-21,84.51151275634766,0.0,131.64999389648438,0.0,131.83999633789062,129.14999389648438,129.83999633789062,0.0,11531500
2001-05-22,84.40240478515625,0.0,131.47999572753906,0.0,132.08999633789062,131.07000732421875,131.8300018310547,0.0,8342700
2001-05-23,82.97087860107422,0.0,129.25,0.0,131.0500030517578,129.25,131.0500030517578,0.0,12330800
2001-05-24,83.2148208618164,0.0,129.6300048828125,0.0,130.0,128.5500030517578,129.47000122070312,0.0,7902800
2001-05-25,82.23260498046875,0.0,128.10000610351562,0.0,129.6999969482422,127.9000015258789,129.64999389648438,0.0,7425000
2001-05-29,81.57783508300781,0.0,127.08000183105469,0.0,128.35000610351562,126.9000015258789,128.22000122070312,0.0,9003900
2001-05-30,80.43517303466797,0.0,125.30000305175781,0.0,127.08999633789062,125.0,126.58999633789062,0.0,10041800
2001-05-31,80.85243225097656,0.0,125.94999694824219,0.0,126.76000213623047,125.26000213623047,125.43000030517578,0.0,9874200
2001-06-01,81.35316467285156,0.0,126.7300033569336,0.0,127.0999984741211,125.12000274658203,126.19999694824219,0.0,8848300
2001-06-04,81.74472045898438,0.0,127.33999633789062,0.0,127.43000030517578,126.08000183105469,126.80000305175781,0.0,5623500
